01_Presence Condition,02_Total Lines in Code,03_Line Coverage Precentage
!AXDEBUG,2,0.03
CONFIG_HTTP_HAS_CGI && CONFIG_HTTP_VERBOSE,2,0.03
!YY_TYPEDEF_YY_BUFFER_STATE,2,0.03
!YY_TYPEDEF_YY_SIZE_T,2,0.03
YY_DECL_IS_OURS,2,0.03
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_ALLOC && __STDC__) || __cplusplus,2,0.03
(!YYSIZE_T && __STDC__) || __cplusplus,2,0.03
YYDEBUG && !YYFPRINTF,2,0.03
YYERROR_VERBOSE && !yystpcpy && !(__GLIBC__ && _STRING_H && _GNU_SOURCE) && !(__STDC__ || __cplusplus),2,0.03
(YYPARSE_PARAM && __STDC__) || __cplusplus,2,0.03
!OLD_NCURSES,2,0.03
!STDIN_FILENO,1,0.01
!CONFIG_PLATFORM_SOLARIS,1,0.01
CONFIG_SSL_PROT_LOW,1,0.01
CONFIG_SSL_PROT_MEDIUM,1,0.01
!(CONFIG_SSL_PROT_LOW || CONFIG_SSL_PROT_MEDIUM),1,0.01
CONFIG_SSL_SERVER_ONLY,1,0.01
!(CONFIG_SSL_FULL_MODE || CONFIG_SSL_ENABLE_CLIENT || CONFIG_ENABLE_VERIFICATION || CONFIG_SSL_SERVER_ONLY),1,0.01
!CONFIG_SSL_FULL_MODE,1,0.01
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_HAS_PEM,1,0.01
!CONFIG_SSL_SKELETON_MODE && !CONFIG_SSL_HAS_PEM && CONFIG_SSL_FULL_MODE,1,0.01
CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.01
!CONFIG_BIGINT_CHECK_ON,1,0.01
!CONFIG_BIGINT_KARATSUBA,1,0.01
CONFIG_BIGINT_SQUARE && !CONFIG_BIGINT_KARATSUBA,1,0.01
!CONFIG_BIGINT_MONTGOMERY,1,0.01
!CONFIG_SSL_SKELETON_MODE && CONFIG_SSL_FULL_MODE,1,0.01
(CONFIG_SSL_HAS_PEM || CONFIG_HTTP_HAS_AUTHORIZATION) && CONFIG_SSL_FULL_MODE,1,0.01
CONFIG_SSL_HAS_PEM || (CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_SSL_FULL_MODE),1,0.01
!CONFIG_HTTP_HAS_CGI,1,0.01
CONFIG_HTTP_HAS_AUTHORIZATION && CONFIG_HTTP_VERBOSE,1,0.01
!CONFIG_HTTP_DIRECTORIES,1,0.01
WIN32 || CONFIG_PLATFORM_CYGWIN,1,0.01
CONFIG_HTTP_HAS_CGI && WIN32,1,0.01
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.01
CONFIG_HTTP_HAS_CGI && !WIN32 && CONFIG_HTTP_HAS_AUTHORIZATION,1,0.01
(CONFIG_HTTP_HAS_CGI && !WIN32) && CONFIG_HTTP_HAS_CGI,1,0.01
!WIN32 && CONFIG_HTTP_HAS_CGI,1,0.01
!WIN32 && CONFIG_HTTP_VERBOSE,1,0.01
CONFIG_HTTP_HAS_DIRECTORIES && WIN32,1,0.01
CONFIG_HTTP_HAS_DIRECTORIES && !WIN32,1,0.01
!FLEXINT_H && !INT8_MIN,1,0.01
!FLEXINT_H && !INT16_MIN,1,0.01
!FLEXINT_H && !INT32_MIN,1,0.01
!FLEXINT_H && !INT8_MAX,1,0.01
!FLEXINT_H && !INT16_MAX,1,0.01
!FLEXINT_H && !INT32_MAX,1,0.01
!FLEXINT_H && !UINT8_MAX,1,0.01
!FLEXINT_H && !UINT16_MAX,1,0.01
!FLEXINT_H && !UINT32_MAX,1,0.01
YY_USE_CONST,1,0.01
!YY_USE_CONST,1,0.01
!YY_BUF_SIZE,1,0.01
!YY_EXTRA_TYPE,1,0.01
!YY_SKIP_YYWRAP && __cplusplus,1,0.01
!YY_SKIP_YYWRAP && !__cplusplus,1,0.01
!YY_READ_BUF_SIZE,1,0.01
!yyterminate,1,0.01
!YY_START_STACK_INCR,1,0.01
!YY_FATAL_ERROR,1,0.01
!YY_USER_ACTION,1,0.01
!YY_BREAK,1,0.01
YY_USER_INIT,1,0.01
!YY_EXIT_FAILURE,1,0.01
!YYERROR_VERBOSE,1,0.01
(!yyoverflow || YYERROR_VERBOSE) && YYSTACK_USE_ALLOCA,1,0.01
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_USE_ALLOCA && !YYSTACK_USE_ALLOCA && alloca) || (_ALLOCA_H && __GNUC__),1,0.01
!yyoverflow || (YYERROR_VERBOSE && !YYSTACK_USE_ALLOCA && !YYSTACK_USE_ALLOCA && !(alloca || (_ALLOCA_H && __GNUC__)) && __GNUC__),1,0.01
(!yyoverflow || YYERROR_VERBOSE) && YYSTACK_ALLOC,1,0.01
!yyoverflow || (YYERROR_VERBOSE && YYSTACK_ALLOC),1,0.01
(!yyoverflow || YYERROR_VERBOSE) && !YYSTACK_ALLOC,1,0.01
!YYSIZE_T && __SIZE_TYPE__,1,0.01
!YYSIZE_T && size_t,1,0.01
